#       flow   flowType   src   dst            time         throughput

           1        tcp     5     0         1.01374            1079.32
           1        tcp     5     0         2.01546            2403.85
           1        tcp     5     0         3.01719            2403.85
           1        tcp     5     0         4.01892            2403.85
           1        tcp     5     0         5.02065            2403.85
           1        tcp     5     0         6.02238            2403.85
           1        tcp     5     0          7.0241            2403.85
           1        tcp     5     0         8.02583            2403.85
           1        tcp     5     0         9.02756            2403.85
           1        tcp     5     0         10.0293            2403.85
           1        tcp     5     0          11.031            2403.85
           1        tcp     5     0         12.0327            2403.85
           1        tcp     5     0         13.0345            2403.85
           1        tcp     5     0         14.0362            2403.85
           1        tcp     5     0         15.0379            2403.85
           1        tcp     5     0         16.0397            2403.85
           1        tcp     5     0         17.0414            2403.85
           1        tcp     5     0         18.0431            2403.85
           1        tcp     5     0         19.0448            2403.85
           1        tcp     5     0         20.0466            2403.85
           1        tcp     5     0         21.0483            2403.85
           1        tcp     5     0           22.05            2403.85
           1        tcp     5     0         23.0518            2403.85
           1        tcp     5     0         24.0535            2403.85
           1        tcp     5     0         25.0549            2380.74
           1        tcp     5     0         26.1481            321.968
           1        tcp     5     0         27.1723            523.338
           1        tcp     5     0         28.1747            1284.94
           1        tcp     5     0         29.1747            1199.98
           1        tcp     5     0         30.1771            1221.09
           1        tcp     5     0         31.1807            1283.42
           1        tcp     5     0         32.1842            1339.22
           1        tcp     5     0         33.1843            1199.98
           1        tcp     5     0         34.1855            1206.55
           1        tcp     5     0          35.189            1267.48
           1        tcp     5     0         36.1926             1315.3
           1        tcp     5     0         37.1938            1254.49
           1        tcp     5     0         38.1938            1199.98
           1        tcp     5     0         39.2073            1223.51
           1        tcp     5     0          40.222            1285.16
           1        tcp     5     0         41.2255            1339.22
           1        tcp     5     0         42.2255            1199.98
           1        tcp     5     0         43.2267            1206.55
           1        tcp     5     0         44.2303            1267.48
           1        tcp     5     0         45.2578            1245.79
           1        tcp     5     0         46.3505            248.915
           1        tcp     5     0         47.3697             345.38
           1        tcp     5     0         48.3789             546.98
           1        tcp     5     0          49.384            573.073
           1        tcp     5     0          50.386            1061.79
           1        tcp     5     0         51.3871            935.014
           1        tcp     5     0         52.4472            415.042
           1        tcp     5     0         53.4498            263.315
           1        tcp     5     0         54.4574             524.01
           1        tcp     5     0         55.4799             453.83
           1        tcp     5     0         56.4907            300.733
           1        tcp     5     0         57.4917            479.522
           1        tcp     5     0         58.4969            501.393
           1        tcp     5     0          59.497            647.932


